filename,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
andy,78,,,,,,36,38,8.0,542,263,291,196,305,0,0,327
unnamed,115,,,,,,71,119,32.0,26164,25027,25730,4902,16997,0,75,20670
louise,44,,,,,,20,58,19.0,1787,1555,1597,2765,3177,0,158,3966
alex,74,,,,,,23,57,13.0,1171912,1167037,1171681,36772,621746,0,35695,846513
priscilla,60,,,,,,16,65,15.0,30313,29126,30113,37255,125056,0,6724,173449
freya,47,,,,,,22,47,13.0,668,441,470,765,961,0,135,1214
lydia,82,,,,,,15,28,7.0,338,37,56,68,97,0,5,118
unused_2,48,,,,,,22,70,13.0,1300,1062,1110,2129,2247,0,3,2353
mary,33,,,,,,12,46,10.0,363,188,216,843,978,0,115,995
unused_1,50,,,,,,20,58,8.0,350,137,155,225,267,0,0,234
rebecca,43,,,,,,16,25,6.0,214,25,34,54,73,0,4,74
adam,48,,,,,,23,93,14.0,2103,1870,1921,3338,3769,0,200,3683
william,61,,,,,,13,50,15.0,24093,23084,23901,57896,148098,0,10372,195772
claire,47,,,,,,19,34,10.0,501,289,309,628,732,0,55,873
sally,57,,,,,,26,98,17.0,45738,43741,45524,26367,125955,0,3453,152225
lauren,37,,,,,,21,81,19.0,1826,1590,1649,4261,5099,0,286,5988
kate,67,,,,,,30,45,13.0,4638,4264,4406,7560,8651,0,191,11362
chris,39,,,,,,15,34,7.0,249,62,76,252,328,0,42,390
paul,83,,,,,,51,85,32.0,9620,9040,9356,20544,22185,0,1170,34123
kevin,82,,,,,,25,61,15.0,101008,98204,100774,34248,370466,0,30079,583423
helen,90,,,,,,21,81,12.0,4777,4311,4516,18496,19987,0,891,24954
tanya,39,,,,,,21,42,9.0,332,153,168,244,317,0,30,359
carlasta,219,,,,,,59,261,46.0,310232,298761,309800,9790,330719,0,2115,547333
sarah,51,,,,,,21,75,16.0,377,162,180,237,339,0,9,349
carlasta2,220,,,,,,58,116,17.0,3958,3389,3527,3086,3326,0,20,5364
lucy,87,,,,,,26,36,10.0,331,68,92,99,159,0,3,161
