filename,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
andy_basic,78,,,,,,36,38,8.0,542,263,291,196,305,0,0,327
louise_basic,44,,,,,,20,58,19.0,1787,1555,1597,2765,3177,0,158,3966
alex_basic,74,,,,,,23,57,13.0,1171912,1167037,1171681,36772,621746,0,35695,846513
priscilla_basic,60,,,,,,16,65,15.0,30313,29126,30113,37255,125056,0,6724,173449
freya_basic,47,,,,,,22,47,13.0,668,441,470,765,961,0,135,1214
lydia_basic,82,,,,,,15,28,7.0,338,37,56,68,97,0,5,118
unused_2_basic,48,,,,,,22,70,13.0,1300,1062,1110,2129,2247,0,3,2353
mary_basic,33,,,,,,12,46,10.0,363,188,216,843,978,0,115,995
unused_1_basic,50,,,,,,20,58,8.0,350,137,155,225,267,0,0,234
rebecca_basic,43,,,,,,16,25,6.0,214,25,34,54,73,0,4,74
adam_basic,48,,,,,,23,93,14.0,2103,1870,1921,3338,3769,0,200,3683
william_basic,61,,,,,,13,50,15.0,24093,23084,23901,57896,148098,0,10372,195772
claire_basic,47,,,,,,19,34,10.0,501,289,309,628,732,0,55,873
sally_basic,57,,,,,,26,98,17.0,45738,43741,45524,26367,125955,0,3453,152225
lauren_basic,37,,,,,,21,81,19.0,1826,1590,1649,4261,5099,0,286,5988
kate_basic,67,,,,,,30,45,13.0,4638,4264,4406,7560,8651,0,191,11362
chris_basic,39,,,,,,15,34,7.0,249,62,76,252,328,0,42,390
paul_basic,83,,,,,,51,85,32.0,9620,9040,9356,20544,22185,0,1170,34123
kevin_basic,82,,,,,,25,61,15.0,101008,98204,100774,34248,370466,0,30079,583423
helen_basic,90,,,,,,21,81,12.0,4777,4311,4516,18496,19987,0,891,24954
tanya_basic,39,,,,,,21,42,9.0,332,153,168,244,317,0,30,359
carlasta_basic,219,,,,,,59,261,46.0,310232,298761,309800,9790,330719,0,2115,547333
sarah_basic,51,,,,,,21,75,16.0,377,162,180,237,339,0,9,349
carlasta2_basic,220,,,,,,58,116,17.0,3958,3389,3527,3086,3326,0,20,5364
lucy_basic,87,,,,,,26,36,10.0,331,68,92,99,159,0,3,161
rebecca_goal,77,,,,,,8,25,6.0,241,16,27,53,73,0,4,63
unused_1_goal,85,,,,,,14,47,6.0,305,47,67,110,139,0,0,105
helen_goal,97,,,,,,10,79,14.0,531,263,297,1630,1817,0,91,2118
kate_goal,106,,,,,,16,37,11.0,424,141,169,257,346,0,29,342
kevin_goal,123,,,,,,11,44,12.0,1688,1337,1421,6995,7982,0,829,12970
lydia_goal,98,,,,,,5,31,7.0,267,25,34,77,103,0,5,122
chris_goal,66,,,,,,4,38,7.0,214,16,27,108,143,0,14,168
tanya_goal,67,,,,,,15,26,5.0,256,26,43,52,85,0,3,58
paul_goal,114,,,,,,18,68,26.0,5575,4882,5277,26155,28099,0,1564,43581
sally_goal,103,,,,,,14,72,15.0,1863,1514,1604,6703,7362,0,333,8288
andy_goal,117,,,,,,22,38,8.0,453,128,152,114,194,0,1,172
alex_goal,104,,,,,,9,26,6.0,305,43,61,54,93,0,7,65
claire_goal,82,,,,,,14,35,10.0,297,38,57,95,139,0,9,114
priscilla_goal,103,,,,,,10,62,18.0,730,439,483,2463,2928,0,333,3397
carlasta_goal,280,,,,,,28,177,32.0,1902,1317,1425,1734,1993,0,23,2869
louise_goal,74,,,,,,11,58,19.0,1119,856,918,3930,4590,0,292,5544
unused_2_goal,85,,,,,,14,70,13.0,745,459,506,1901,2053,0,40,2070
sarah_goal,88,,,,,,18,72,17.0,381,113,137,251,367,0,14,345
lucy_goal,126,,,,,,10,38,10.0,358,72,89,94,155,0,1,141
mary_goal,62,,,,,,7,48,10.0,242,36,51,174,212,0,20,196
carlasta2_goal,313,,,,,,27,80,14.0,1302,704,778,863,1018,0,11,1422
freya_goal,86,,,,,,14,39,13.0,366,113,143,327,449,0,65,483
adam_goal,77,,,,,,14,82,12.0,1574,1256,1348,5883,6629,0,416,6428
lauren_goal,67,,,,,,12,44,11.0,362,121,154,528,678,0,95,732
william_goal,96,,,,,,8,50,15.0,317,69,80,320,403,0,54,410
