filename,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
sally,2442,,,,,,14,79,15.0,13536,1878,2001,6652,7292,0,332,8235
lucy,2082,,,,,,11,24,8.0,9358,41,58,78,122,0,2,121
lauren,662,,,,,,12,84,19.0,2415,567,609,2043,2495,0,193,2847
chris,658,,,,,,5,39,7.0,1756,26,35,107,144,0,15,165
david,7047,,,,,,27,29,9.0,65803,158,195,83,148,0,7,127
rebecca,863,,,,,,7,26,6.0,2621,19,27,58,79,0,5,71
william,1570,,,,,,7,51,15.0,6258,74,90,317,401,0,54,406
freya,1008,,,,,,13,55,15.0,3357,137,162,400,535,0,75,602
lydia,1469,,,,,,5,31,7.0,4959,22,33,77,103,0,5,122
joan,7164,,,,,,22,85,24.0,76114,375,423,415,607,0,43,685
unused_2,1289,,,,,,13,70,11.0,5404,554,596,2023,2165,0,45,2213
sarah,1027,,,,,,13,64,15.0,3383,105,129,217,324,0,11,294
kevin,1951,,,,,,12,44,12.0,9854,784,832,3257,3759,0,380,6010
louise,1096,,,,,,12,75,23.0,3679,707,751,2990,3482,0,224,4216
tanya,596,,,,,,9,38,7.0,1508,50,64,81,119,0,4,104
unused_1,2205,,,,,,21,58,8.0,8456,96,122,137,168,0,0,133
claire,1036,,,,,,11,35,10.0,3598,52,65,95,139,0,9,114
kate,3921,,,,,,26,37,11.0,19481,116,146,87,137,0,11,103
helen,1985,,,,,,11,85,14.0,9503,321,368,2213,2428,0,115,2900
mary,479,,,,,,6,46,10.0,1232,30,43,106,139,0,11,112
paul,2335,,,,,,15,75,28.0,17740,6256,6724,28457,30478,0,1643,47462
julian,7487,,,,,,14,84,17.0,77471,748,802,2594,2923,0,243,4237
adam,1302,,,,,,13,72,12.0,7044,2053,2227,10062,11104,0,591,11175
andy,2228,,,,,,16,23,6.0,11094,83,106,46,100,0,1,53
willow,6284,,,,,,15,112,18.0,63659,7792,8148,27968,31639,0,3115,40824
alice,7192,,,,,,19,75,23.0,281951,208491,216514,19107,559219,0,68460,793973
alex,1670,,,,,,10,26,6.0,7380,30,47,52,91,0,7,63
priscilla,3245,,,,,,13,78,18.0,16707,802,870,2348,2778,0,306,3244
jack_jill,3889,,,,,,26,51,14.0,315860,270886,294368,18770,705844,0,79933,1011036
chris_karen,18922,,,,,,28,97,31.0,310092,16585,17395,15808,63706,0,22995,58433
