filename,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
rebecca,48,,,,,,8,40,11.0,324,110,147,1902,2149,0,77,2767
unused_1,52,,,,,,13,58,8.0,663545,610120,663346,105032,6572205,0,71472,7513867
helen,76,,,,,,12,71,15.0,19837,17943,19613,139122,269860,0,2447,393799
david,175,,,,,,27,60,14.0,13448,12203,13070,23690,42815,0,180,63469
lydia,77,,,,,,6,30,7.0,256,18,27,94,121,0,2,145
chris,50,,,,,,6,34,7.0,742,457,551,22256,23281,0,739,38948
tanya,54,,,,,,12,32,9.0,294,68,86,374,506,0,5,485
paul,87,,,,,,15,87,30.0,72025,65995,71780,76309,569378,0,14231,944672
sally,78,,,,,,14,99,19.0,24109,21938,23877,86409,210573,0,1991,257817
andy,99,,,,,,17,148,32.0,5527,4863,5270,29744,31599,0,843,60427
alex,80,,,,,,11,35,6.0,470,201,244,2043,2375,0,44,3072
claire,56,,,,,,11,48,12.0,2200,1803,1997,18169,19008,0,666,27399
priscilla,76,,,,,,9,112,22.0,165360,153091,165135,128809,2051891,0,24712,3155378
louise,52,,,,,,14,68,19.0,1296,1030,1109,9851,10748,0,297,14973
unused_2,59,,,,,,14,65,10.0,14353,12864,14141,100615,145800,0,2478,161509
sarah,61,,,,,,13,33,10.0,1256,931,1052,8981,9574,0,226,15413
lucy,97,,,,,,13,58,16.0,400,117,149,574,772,0,5,1010
mary,39,,,,,,7,42,10.0,449,240,278,4885,5174,0,180,6269
freya,66,,,,,,13,54,17.0,62223,56932,62003,102845,642732,0,15508,1076266
adam,61,,,,,,14,114,20.0,68015,62271,67795,102169,695680,0,9241,789396
lauren,48,,,,,,14,60,15.0,8835,8088,8650,95588,100067,0,3458,154324
william,64,,,,,,8,72,19.0,301598,271662,301400,229896,6486821,0,78267,9507177
chris_karen,244,,,,,,25,36,10.0,747,217,256,278,569,0,0,521
chris_karen2,249,,,,,,25,36,10.0,737,209,241,278,569,0,0,521
jack_jill,103,,,,,,20,135,36.0,20867,19852,20569,21065,63745,0,3118,66924
