filename,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
rebecca,77,,,,,,8,25,6.0,241,16,27,53,73,0,4,63
unused_1,85,,,,,,14,47,6.0,305,47,67,110,139,0,0,105
helen,97,,,,,,10,79,14.0,531,263,297,1630,1817,0,91,2118
david,191,,,,,,24,31,9.0,579,166,200,138,219,0,17,228
kate,106,,,,,,16,37,11.0,424,141,169,257,346,0,29,342
kevin,123,,,,,,11,44,12.0,1688,1337,1421,6995,7982,0,829,12970
lydia,98,,,,,,5,31,7.0,267,25,34,77,103,0,5,122
chris,66,,,,,,4,38,7.0,214,16,27,108,143,0,14,168
tanya,67,,,,,,15,26,5.0,256,26,43,52,85,0,3,58
paul,114,,,,,,18,68,26.0,5575,4882,5277,26155,28099,0,1564,43581
sally,103,,,,,,14,72,15.0,1863,1514,1604,6703,7362,0,333,8288
willow,146,,,,,,12,100,16.0,8614,7962,8304,30741,34747,0,3281,45026
andy,117,,,,,,22,38,8.0,453,128,152,114,194,0,1,172
alex,104,,,,,,9,26,6.0,305,43,61,54,93,0,7,65
claire,82,,,,,,14,35,10.0,297,38,57,95,139,0,9,114
joan,193,,,,,,20,87,24.0,954,535,580,836,1099,0,86,1499
martingala2,1537,,,,,,75,82,16.0,3906,1820,1974,498,744,0,18,1056
priscilla,103,,,,,,10,62,18.0,730,439,483,2463,2928,0,333,3397
alice,162,,,,,,22,75,23.0,202069,192819,201732,18835,496912,0,61251,704133
carlasta,280,,,,,,28,177,32.0,1902,1317,1425,1734,1993,0,23,2869
julian,164,,,,,,11,163,32.0,1884,1476,1558,5622,6489,0,635,9152
louise,74,,,,,,11,58,19.0,1119,856,918,3930,4590,0,292,5544
unused_2,85,,,,,,14,70,13.0,745,459,506,1901,2053,0,40,2070
sarah,88,,,,,,18,72,17.0,381,113,137,251,367,0,14,345
lucy,126,,,,,,10,38,10.0,358,72,89,94,155,0,1,141
mary,62,,,,,,7,48,10.0,242,36,51,174,212,0,20,196
carlasta2,313,,,,,,27,80,14.0,1302,704,778,863,1018,0,11,1422
freya,86,,,,,,14,39,13.0,366,113,143,327,449,0,65,483
adam,77,,,,,,14,82,12.0,1574,1256,1348,5883,6629,0,416,6428
lauren,67,,,,,,12,44,11.0,362,121,154,528,678,0,95,732
william,96,,,,,,8,50,15.0,317,69,80,320,403,0,54,410
chris_karen,285,,,,,,22,49,12.0,70912,64398,70146,22054,322195,0,77188,515191
jack_jill,174,,,,,,20,110,24.0,6944,6011,6454,9351,18336,0,8044,16367
