filename,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
rebecca_goal,77,,,,,,8,25,6.0,241,16,27,53,73,0,4,63
unused_1_goal,85,,,,,,14,47,6.0,305,47,67,110,139,0,0,105
helen_goal,97,,,,,,10,79,14.0,531,263,297,1630,1817,0,91,2118
david_goal,191,,,,,,24,31,9.0,579,166,200,138,219,0,17,228
kate_goal,106,,,,,,16,37,11.0,424,141,169,257,346,0,29,342
kevin_goal,123,,,,,,11,44,12.0,1688,1337,1421,6995,7982,0,829,12970
lydia_goal,98,,,,,,5,31,7.0,267,25,34,77,103,0,5,122
chris_goal,66,,,,,,4,38,7.0,214,16,27,108,143,0,14,168
tanya_goal,67,,,,,,15,26,5.0,256,26,43,52,85,0,3,58
paul_goal,114,,,,,,18,68,26.0,5575,4882,5277,26155,28099,0,1564,43581
sally_goal,103,,,,,,14,72,15.0,1863,1514,1604,6703,7362,0,333,8288
willow_goal,146,,,,,,12,100,16.0,8614,7962,8304,30741,34747,0,3281,45026
andy_goal,117,,,,,,22,38,8.0,453,128,152,114,194,0,1,172
alex_goal,104,,,,,,9,26,6.0,305,43,61,54,93,0,7,65
claire_goal,82,,,,,,14,35,10.0,297,38,57,95,139,0,9,114
joan_goal,193,,,,,,20,87,24.0,954,535,580,836,1099,0,86,1499
priscilla_goal,103,,,,,,10,62,18.0,730,439,483,2463,2928,0,333,3397
alice_goal,162,,,,,,22,75,23.0,202069,192819,201732,18835,496912,0,61251,704133
julian_goal,164,,,,,,11,163,32.0,1884,1476,1558,5622,6489,0,635,9152
louise_goal,74,,,,,,11,58,19.0,1119,856,918,3930,4590,0,292,5544
unused_2_goal,85,,,,,,14,70,13.0,745,459,506,1901,2053,0,40,2070
sarah_goal,88,,,,,,18,72,17.0,381,113,137,251,367,0,14,345
lucy_goal,126,,,,,,10,38,10.0,358,72,89,94,155,0,1,141
mary_goal,62,,,,,,7,48,10.0,242,36,51,174,212,0,20,196
freya_goal,86,,,,,,14,39,13.0,366,113,143,327,449,0,65,483
adam_goal,77,,,,,,14,82,12.0,1574,1256,1348,5883,6629,0,416,6428
lauren_goal,67,,,,,,12,44,11.0,362,121,154,528,678,0,95,732
william_goal,96,,,,,,8,50,15.0,317,69,80,320,403,0,54,410
chris_karen_goal,285,,,,,,22,49,12.0,70912,64398,70146,22054,322195,0,77188,515191
jack_jill_goal,174,,,,,,20,110,24.0,6944,6011,6454,9351,18336,0,8044,16367
sally_coord,2442,,,,,,14,79,15.0,13536,1878,2001,6652,7292,0,332,8235
lucy_coord,2082,,,,,,11,24,8.0,9358,41,58,78,122,0,2,121
lauren_coord,662,,,,,,12,84,19.0,2415,567,609,2043,2495,0,193,2847
chris_coord,658,,,,,,5,39,7.0,1756,26,35,107,144,0,15,165
david_coord,7047,,,,,,27,29,9.0,65803,158,195,83,148,0,7,127
rebecca_coord,863,,,,,,7,26,6.0,2621,19,27,58,79,0,5,71
william_coord,1570,,,,,,7,51,15.0,6258,74,90,317,401,0,54,406
freya_coord,1008,,,,,,13,55,15.0,3357,137,162,400,535,0,75,602
lydia_coord,1469,,,,,,5,31,7.0,4959,22,33,77,103,0,5,122
joan_coord,7164,,,,,,22,85,24.0,76114,375,423,415,607,0,43,685
unused_2_coord,1289,,,,,,13,70,11.0,5404,554,596,2023,2165,0,45,2213
sarah_coord,1027,,,,,,13,64,15.0,3383,105,129,217,324,0,11,294
kevin_coord,1951,,,,,,12,44,12.0,9854,784,832,3257,3759,0,380,6010
louise_coord,1096,,,,,,12,75,23.0,3679,707,751,2990,3482,0,224,4216
tanya_coord,596,,,,,,9,38,7.0,1508,50,64,81,119,0,4,104
unused_1_coord,2205,,,,,,21,58,8.0,8456,96,122,137,168,0,0,133
claire_coord,1036,,,,,,11,35,10.0,3598,52,65,95,139,0,9,114
kate_coord,3921,,,,,,26,37,11.0,19481,116,146,87,137,0,11,103
helen_coord,1985,,,,,,11,85,14.0,9503,321,368,2213,2428,0,115,2900
mary_coord,479,,,,,,6,46,10.0,1232,30,43,106,139,0,11,112
paul_coord,2335,,,,,,15,75,28.0,17740,6256,6724,28457,30478,0,1643,47462
julian_coord,7487,,,,,,14,84,17.0,77471,748,802,2594,2923,0,243,4237
adam_coord,1302,,,,,,13,72,12.0,7044,2053,2227,10062,11104,0,591,11175
andy_coord,2228,,,,,,16,23,6.0,11094,83,106,46,100,0,1,53
willow_coord,6284,,,,,,15,112,18.0,63659,7792,8148,27968,31639,0,3115,40824
alice_coord,7192,,,,,,19,75,23.0,281951,208491,216514,19107,559219,0,68460,793973
alex_coord,1670,,,,,,10,26,6.0,7380,30,47,52,91,0,7,63
priscilla_coord,3245,,,,,,13,78,18.0,16707,802,870,2348,2778,0,306,3244
jack_jill_coord,3889,,,,,,26,51,14.0,315860,270886,294368,18770,705844,0,79933,1011036
chris_karen_coord,18922,,,,,,28,97,31.0,310092,16585,17395,15808,63706,0,22995,58433
